Name,Address,Coordinates
Barbeque Nation,,"[59.4999889, 22.5734395]"
بنك مسقط,,"[59.5152802, 22.5776956]"
Pizza Hut,,"[59.5023489, 22.5758942]"
ATM NBO,,"[59.5019598, 22.5757114]"
Cave Sur,,"[59.5146119, 22.5791581]"
Sama Sur,,"[59.5149642, 22.5794165]"
جامع الفاروق,,"[59.5256786, 22.5703658]"
بنك ظفار ATM,,"[59.5264381, 22.5705546]"
مقهى الهيل و الزعفران,,"[59.5268515, 22.5697818]"
Fruits & Vegetables,,"[59.5243667, 22.5692781]"
ONTC,,"[59.5258852, 22.5690528]"
Bawadi Al Afiya,,"[59.5264323, 22.5680999]"
مسجد الشعبية,,"[57.759603, 22.8120637]"
شيشة المها,,"[58.5078991, 22.7520259]"
مدرسة الغمصة,,"[58.5173604, 22.9796943]"
مركز دماء الصحي,,"[58.5029837, 22.9845341]"
AST,,"[58.5132155, 23.6078333]"
Oman Oil,,"[57.3314855, 22.8876715]"
مركز شرطة بهلاء,,"[57.3144398, 22.9927937]"
محكمة بهلا,,"[57.316796, 22.9972348]"
الوردي لتأجير السيارات,,"[57.3096584, 22.9843965]"
Al Maha,,"[57.537584, 22.8641869]"
مقهى وقت الشاي,,"[57.5524792, 22.860774]"
Al Maha petrol station,,"[57.554096, 22.8615048]"
محطة وقود المها,,"[57.6343725, 22.8872722]"
قيادة شرطة محافظة الداخليه,,"[57.6292916, 22.8887705]"
مجمع جنى الطبي,,"[57.66543, 22.9185597]"
بنك مسقط,,"[57.6618123, 22.9202021]"
Petrol Station,,"[58.5294891, 22.7152587]"
جامع قناطر,,"[58.5338873, 22.6899018]"
وزارة الاسكان ابراء للاراضي,,"[58.525981, 22.7226263]"
مسجد,,"[58.1046837, 23.3560767]"
Oman Oil,,"[58.1116318, 23.3021949]"
Roma - Italian,,"[58.1119671, 23.3026952]"
Quick Snack,,"[58.1119801, 23.3024671]"
Sol Cafe,,"[58.111665, 23.3028501]"
Hot Burger Fastfood,,"[57.7551392, 22.8222307]"
بنك مسقط,,"[57.7544577, 22.8253156]"
محطة تعبئة وقود قلعة العوامر,,"[57.75421, 22.8273298]"
Izki Police Station,,"[57.7463273, 22.9056685]"
مسجد,,"[56.4697162, 23.1728225]"
مسجد,,"[56.4804798, 23.1820283]"
مسجد,,"[56.4528728, 23.2204236]"
مسجد,,"[56.4494764, 23.2206074]"
مكتب بريد الأخضر,,"[56.4580946, 23.2190316]"
مسجد الأخضر,,"[56.4617028, 23.2220634]"
Coffee Shop,,"[56.0063663, 22.7956178]"
BBQ Land,,"[57.7581456, 22.9429186]"
عيادة الإنسانية,,"[57.7581099, 22.9431508]"
بنك أتش أس بي سي,,"[57.7584907, 22.9435298]"
صيدلية أدم,,"[57.7581573, 22.9403298]"
محطة وقود شل,,"[58.0158306, 22.7302184]"
محطة وقود المها,,"[58.5069755, 23.5215585]"
صراف آلي,,"[57.7312349, 22.7541702]"
مسجد سوق قديم,,"[57.7557119, 22.8302698]"
Restaurant & Coffee Shop,,"[58.5586218, 23.5864092]"
محطة معالجة مياه الصرف الصحي,,"[57.7602629, 22.9599346]"
حلاق,,"[57.2361093, 22.8654919]"
مواد غذائية,,"[57.236054, 22.8654931]"
مركز الشموع المضيئة,,"[56.4903476, 23.2114905]"
مركز رياض الدريز للتسوق,,"[56.6158051, 23.3173283]"
Football Ground,,"[56.5544041, 23.6085579]"
بناية الشندودى..اثاث,,"[56.5155869, 23.2202153]"
بناية الشندودى,,"[56.5156404, 23.2207891]"
LuLu Hypermarket,,"[56.521783, 23.258538]"
مغسلة كي الملابس,,"[58.2974188, 23.5852241]"
تصليح إطارات,,"[58.2973282, 23.5852047]"
BankMuscat (Kimji's Mart),,"[58.2932962, 23.5791604]"
هووت كافيه hoot cafe,,"[58.1552394, 23.6000331]"
Oman Pumps,,"[58.2091626, 23.5564159]"
الاستهلاكية,,"[58.1711306, 23.5920875]"
Student Consumer Establishment,,"[58.1664635, 23.5907307]"
مسقط الذكية,,"[58.1447158, 23.5886695]"
Noor,,"[58.144785, 23.5889484]"
Super Barbershop!,,"[58.1448888, 23.5888521]"
Dar Muscat Decoration,,"[58.1454975, 23.5873533]"
BADAR SHOPPING CENTRE,,"[58.1442852, 23.5913947]"
مركز بدر للتسوق,,"[58.1438468, 23.5927818]"
مركز الخروصي خضار ولحم,,"[58.1342387, 23.5893392]"
سبار,,"[58.1419558, 23.5940961]"
تتت,,"[58.1293652, 23.6093695]"
LuLu Hypermarket,,"[58.593564, 22.6744712]"
مصنع الوادي للمياه المعدنية,,"[56.4399106, 23.2258845]"
اسواق ومخبز مرجان مسقط,,"[56.4771739, 23.2141608]"
مركز أبو فزاع للتسوق,,"[56.4320842, 23.2304711]"
بيع أسمدة ومستلزمات النحل,,"[58.10408, 23.41519]"
بيت مهند,,"[56.4690873, 23.2230713]"
أسواق ومخابز الجودة,,"[57.7585792, 22.941151]"
مصنع إزكي للحلوى العمانية,,"[57.7585685, 22.9360799]"
مركز النماء للتسوق,,"[57.7594536, 22.9361661]"
مغازه سناو عمان,,"[58.0426873, 22.5123451]"
City clean fast dry laundry,,"[58.0340684, 22.5051769]"
نجم الخليج,,"[57.5334465, 22.874328]"
Farq net,,"[57.534156, 22.8731193]"
أمارلس بوتيك,,"[57.5343491, 22.8726351]"
Optical world,,"[57.5317379, 22.8745416]"
الحذفه للتصوير السريع,,"[57.5341449, 22.8731482]"
مكتبة اليقظه,,"[57.5342053, 22.8729789]"
White Rose,,"[58.1968497, 23.6287915]"
Hypermarket,,"[58.1718962, 22.7155736]"
Dan,,"[58.2106903, 23.6297991]"
Household Items,,"[58.194455, 23.625442]"
Laundry,,"[58.2110571, 23.5985047]"
السعد اوتليت عمان الرسيل,,"[58.1974058, 23.5641832]"
Carrefour,,"[59.5082603, 22.576586]"
Bishara printing,,"[59.5033298, 22.5759261]"
شموخ الصواري للهواتف النقالة,,"[59.5084833, 22.5823075]"
Fantasy Juice,,"[59.5085729, 22.584605]"
الامير للهواتف المحموله,,"[59.5147572, 22.5782624]"
Bab Al Hara Sweets,,"[59.5162272, 22.5775683]"
كواي,,"[59.3375655, 22.0317837]"
جعلان بو علي ابو حميد,,"[59.3414888, 21.9925179]"
PSC(Electrical Office),,"[59.5237346, 22.5700151]"
Wanasa - Sale & Repair of Mobile Phones,,"[59.5263804, 22.5681159]"
Laundry,,"[59.5264934, 22.5680806]"
فينيق للكتب القرطاسية,,"[59.5208707, 22.5663402]"
سوق السمك. صور,,"[59.5219212, 22.5679191]"
محل العائلة,,"[58.5071412, 22.752635]"
Coffee,,"[58.4971578, 22.7655561]"
Food Stuff,,"[58.519896, 23.5833237]"
مركز العلوي للتسوق,,"[57.3170933, 22.9977235]"
Carrefour Nizwa,,"[57.5381283, 22.8715981]"
Lab 86,,"[57.6714887, 22.9109418]"
برادات الرزق الحسن,,"[57.7612027, 22.8766494]"
مشاريع الحليو الوطنية للهواتف النقالة والحاسب الآلي,,"[57.7544878, 22.8246542]"
Lu Lu,,"[56.4594155, 23.2169819]"
فيض هايبر ماركت,,"[57.7586575, 22.9415015]"
أبو الملهم الريامي للتجارة,,"[57.7585462, 22.9411079]"
محل نظارات,,"[57.760413, 22.9438076]"
محمد بن سيف الريامي لبيع مواد البناء,,"[57.7578872, 22.9395258]"
مخبز يدوي,,"[57.7623638, 22.9473902]"
مخبز إزكي الحديث,,"[57.7680447, 22.9501912]"
مشاريع الانصب الجديدة للتجارة,,"[58.555724, 23.5934115]"
Fah llc,,"[58.5566977, 23.5862378]"
FAH LLC,,"[58.556875, 23.5862322]"
Al Jaleed National,,"[58.5558112, 23.5869079]"
كراج اسماعيلية,,"[58.55584, 23.58739]"
مزرعة الرايبة,,"[56.5065778, 23.2528963]"
نادى عبري الرياضى,,"[56.5168003, 23.2416299]"
Muscat Hills Golf Club House,,"[58.3071397, 23.5671758]"
منزل رشاد الهلالي المعبيلة,,"[58.1344298, 23.6143037]"
منتزة المعبيلة السادسة,,"[58.1301072, 23.6134133]"
بيت عزة ماجد,,"[58.1195584, 23.6087657]"
قاعة قصر البشائر,,"[58.1243824, 23.6027179]"
ممشى,,"[58.6239699, 22.6802427]"
فندق الشرقية,,"[58.6025763, 22.6521507]"
المعمورة,,"[57.310866, 22.9858104]"
بداية طريق الجبل الشرقي,,"[57.3183091, 23.0868047]"
الشريجة,,"[57.5810802, 22.7913272]"
Old Manah,,"[57.5984216, 22.7867856]"
Noor Majan Camp,,"[57.5589712, 22.8242936]"
فلج الخطمين-2,,"[57.6678421, 22.9230292]"
ibri home,,"[56.4680572, 23.2198233]"
منزل حمود الهنائي,,"[56.4750029, 23.2235526]"
فلج,,"[57.7712607, 22.9950543]"
فلج الملكي,,"[57.7634668, 22.9386651]"
uitzicht left of road - watch out !,,"[57.6991404, 23.0025485]"
Mazin Mosque,,"[58.0106953, 23.3113351]"
Tomb,,"[57.9952564, 23.3113677]"
Ambitious future hotel apartments,,"[58.0342442, 22.5058415]"
عمان خونه سليمان,,"[58.0234949, 22.5198163]"
Zaki Hotel Apartment,,"[59.5213916, 22.5760194]"
Al Sqlawi Hotel Apartments,,"[59.511944, 22.5772752]"
Leading Wings Hotel,,"[59.5186664, 22.5812928]"
Old Fort,,"[59.2974494, 22.0682672]"
Sur Hotel,,"[59.526555, 22.5684463]"
فلج العاقل,,"[57.8657948, 22.8071483]"
مزرعة الرابية,,"[56.4956844, 23.2530249]"
Castle,,"[58.1265815, 23.4128881]"
منزل على السحلى,,"[58.1040607, 23.3223532]"
إستراحة جبل المومسي,,"[57.7989846, 22.8933138]"
Jabal Al-Momsi Guest House,,"[57.7974494, 22.893711]"
جامع الشيخ سرحان السرحني,,"[57.7476012, 22.9136624]"
فلج القصوات,,"[57.7653617, 22.9485154]"
فلج الملكي 2,,"[57.76486, 22.9427998]"
سهل,,"[58.0062002, 22.9286179]"
جبل,,"[58.0078183, 22.9432999]"
"Al Maha petrol station, Wadi Kabir",,"[58.5593968, 23.5848976]"
Marine Science & Fisheries Center,,"[58.6068584, 23.5804385]"
Waterwheel Restaurant,,"[58.2243128, 23.6041946]"
Citrus cafe Turkish,,"[58.2244276, 23.6048242]"
شاي كرك,,"[58.2257531, 23.6076277]"
Azahar Medical Complex,,"[58.2328022, 23.6075528]"
Golden Time,,"[58.2371752, 23.6064721]"
Al Rawdha heights masjid,,"[58.2367901, 22.8978162]"
Saadah Yemani,,"[58.2371153, 22.8981158]"
مطعم الصدف الايراني,,"[58.2499533, 23.5947633]"
The Sea Gull Coffee Shop,,"[58.2245882, 23.5942887]"
مدرسة النبع للتعليم الأساسي,,"[58.4980875, 23.5216387]"
مدرسة النورس لتحفيظ القران الكريم,,"[58.4976772, 23.5185449]"
مسجد الحواري,,"[58.4894009, 23.5020713]"
Sohar Bank,,"[58.4983814, 23.48453]"
AdLife Hospital,,"[58.4983379, 23.4840338]"
Home,,"[58.4999184, 23.483154]"
محطة وقود نفط عمان,,"[58.4982548, 23.4787699]"
ماكدونالدز,,"[58.4981368, 23.47827]"
Barakat Mosque,,"[58.3845412, 23.5620097]"
مستشفى الشرطة الجديد,,"[58.2959619, 23.5475925]"
مدرسة إبرا الخاصة,,"[58.5525156, 22.6872375]"
مركز البحث العلمي بمحافظة الشرقية شمال,,"[58.5555797, 22.6891517]"
Oasis Tourism Resort-Restaurant,,"[58.5700935, 22.718255]"
شاي كرك,,"[58.4487319, 23.6015227]"
Grill House,,"[58.449033, 23.5967252]"
Budget Rent A Car,,"[58.4466457, 23.591663]"
مسقط للتأمين - المكتب الرئيسي,,"[58.4447364, 23.5929568]"
Coffee Shop,,"[58.4328073, 23.5924451]"
دائرة الكاتب العدل بالخوير,,"[58.4339756, 23.6001315]"
Meethaq Islamic Banking,,"[58.4367151, 23.5964551]"
Al Aktham Restaurant,,"[58.436943, 23.594566]"
Kamat Restaurant,,"[58.4381533, 23.5945609]"
Glacier Cafe,,"[58.4440416, 23.5938108]"
Habib Bank Limited,,"[58.4386924, 23.5966191]"
Ice Palace,,"[58.4375857, 23.5965817]"
مقهى,,"[58.4399409, 23.5989668]"
Coffee Planet,,"[58.442142, 23.592113]"
مدرسة شمساء الخليلي,,"[58.4378998, 23.5867246]"
Toilet,,"[58.3909276, 22.617398]"
مغسلة سيارات,,"[58.5011237, 23.4978974]"
ice shake,,"[58.5020087, 23.4982778]"
Kilimanjaro Cafe,,"[58.4114101, 23.5630949]"
ههتر,,"[58.3933428, 23.551942]"
قاعة السلام,,"[58.3971875, 23.55335]"
Jal Mosque,,"[58.4030055, 23.5508158]"
جامع الشيخ هلال بن علي الخليلي,,"[58.3983437, 23.5432372]"
مصلى العيد,,"[58.3937183, 23.5371046]"
مدرسة بوشر للتعليم الأساسي ح١,,"[58.3946299, 23.5389638]"
Best Burger,,"[58.4012508, 23.5583512]"
مطعم وافران مسقط,,"[58.3792407, 23.5725255]"
Al Maha,,"[58.3808962, 23.5727195]"
Amazon Medical Complex LLC,,"[58.3817013, 23.5733544]"
مطعم الخروف الدهبي,,"[58.382026, 23.574107]"
المركز الوطني لطب وجراحة القلب,,"[58.3880008, 23.577383]"
مجمع بوشر الصحي,,"[58.3886651, 23.5729535]"
National Endocrine and Diabetic Center,,"[58.3864034, 23.5735243]"
Church Canteen,,"[58.3827838, 23.5709233]"
محطة وقود شل,,"[58.3941036, 23.5652267]"
مطعم الكوخ التركي,,"[58.3499587, 23.5363763]"
معهد الانصب,,"[58.363345, 23.541795]"
HUSUS,,"[58.3459432, 23.5514845]"
مسجد مرتفاعات الانصب,,"[58.3591169, 23.5535492]"
مسجد الانبياء,,"[58.362158, 23.5629014]"
جامع الإسلام,,"[58.1936915, 23.5801602]"
مطعم بلقيس للمأكولات العمانية و اليمنيه,,"[58.1999893, 23.5909155]"
Main Library,,"[58.1795425, 23.5912285]"
grece cafe,,"[58.41884, 23.56441]"
مدرسة,,"[58.4251958, 23.5696791]"
Lilli,,"[58.4112983, 23.5630028]"
Al Alami,,"[58.4282295, 23.5776427]"
Al Shafaq Club,,"[58.3302737, 23.6053273]"
Civil Aviation Authority Club Bar,,"[58.3351769, 23.6060457]"
تأجير سيارات,,"[58.3611056, 23.602401]"
Al Qala Club,,"[58.3454798, 23.6038075]"
Manhattan Fish Market,,"[58.3500829, 23.6020137]"
Masjed Al Estiqama,,"[58.3538378, 23.5992414]"
مركز الريم الطبي,,"[58.3491676, 23.5956825]"
بنك استاندر تشاردر العذيبة,,"[58.3597906, 23.5900302]"
المها للطباعة,,"[58.3593869, 23.5841789]"
مقهى,,"[58.3578741, 23.5796339]"
معهد بهوان التكنلوجيا,,"[58.3441817, 23.5813917]"
Chefs Inn Restaurant,,"[58.3492595, 23.5927541]"
مطعم الروزنة الشعبي,,"[58.3220675, 23.5886313]"
Motor Vehicles Registry,,"[58.3155817, 23.5835033]"
مطعم الصداقة والسلام,,"[58.3391827, 23.5822744]"
بيع منقيات المياه والفلترات,,"[58.3373277, 23.5789842]"
مكان اقامتي مسقط,,"[58.3268189, 23.5722722]"
بوابة كبار الشخصيات - مركز عمان المعارض,,"[58.3231174, 23.5658754]"
Carillion Clinic,,"[58.354397, 23.567272]"
جامع,,"[58.3556356, 23.5668454]"
Shararah Restaurant,,"[58.3581824, 23.5712633]"
Coffee Shop,,"[58.3603346, 23.5750428]"
المعهد العربي للدرسات القانونية,,"[58.3712903, 23.6022072]"
مجمع كوزمسبرج الطبي,,"[58.3703715, 23.6024456]"
مقهى فول وفلافل,,"[58.3707375, 23.6017667]"
المركز الطبي الإيراني أمراض جلدية,,"[58.3672568, 23.602444]"
المدارس المتحدة,,"[58.36829, 23.6025872]"
Haret Al Falafel,,"[58.3691362, 23.603792]"
Dr Mohans dib special centre,,"[58.3667023, 23.602542]"
مركز التفاح الاخضر لطب وجراحة الاسنان,,"[58.3667126, 23.6025397]"
التفاح الأخضر,,"[58.3669299, 23.6024898]"
Costa,,"[58.36598, 23.601917]"
بنك العز الإسلامي,,"[58.3658177, 23.6023413]"
مجلس مسجد الرحمن,,"[58.3644348, 23.6033227]"
Dalma Training Center,,"[58.3663578, 23.601457]"
Coffee Shop,,"[58.3693475, 23.5965785]"
محطة الباصات,,"[58.3675884, 23.5905461]"
مطعم الجود اللبناني,,"[58.3707003, 23.593411]"
Izmir Restaurant,,"[58.3704652, 23.5934902]"
360,,"[58.3660392, 23.5880098]"
صيدلية,,"[58.362283, 23.5881201]"
مصلى العيد,,"[58.3623767, 23.5879085]"
Mumbai - Chennai Express,,"[58.36315, 23.586895]"
Coffee Shop - Ghasan Trading,,"[58.3624327, 23.5863067]"
OIB,,"[58.3645237, 23.5877376]"
بنك مسقط,,"[58.3670955, 23.5877121]"
المركز الأمريكي للعمود الفقري,,"[58.3701881, 23.5876296]"
Fusion Medicare Poly Clinic and Pharmacy,,"[58.369056, 23.58364]"
NEW LULU PHARMACY MEDICAL STORE,,"[58.36621, 23.578455]"
امازون كوفي,,"[58.3666251, 23.5671456]"
Dar Al Ozooma,,"[58.3464923, 23.5521123]"
Coffee Shop,,"[58.379841, 23.5961545]"
Coffee Shop,,"[58.3795529, 23.5961028]"
Coffee Shop,,"[58.3713305, 23.5935636]"
سيتي سنتر,,"[58.2426972, 23.6149222]"
مسجد,,"[58.2434499, 23.6140948]"
Bank Muscat,,"[58.2473611, 23.614021]"
Al Bahja Mall,,"[58.2466637, 23.6140898]"
سينما البهجة,,"[58.2465028, 23.613908]"
محطة شل,,"[58.248198, 23.6144978]"
جامع الدعوةالموالح الجنوبية,,"[58.2428827, 23.6033377]"
قهوة المكان,,"[58.2476914, 23.6022497]"
بنك HSBC,,"[58.2490433, 23.6001234]"
Bank Muscat,,"[58.2489533, 23.5993901]"
الجحله التركي,,"[58.2490442, 23.597767]"
مطعم التركي,,"[58.2493676, 23.5968167]"
نجوم ثلاثة,,"[58.2492532, 23.5967429]"
ماكدونالز,,"[58.2498383, 23.5965773]"
غسيل السيارات,,"[58.2491536, 23.5964784]"
مطعم,,"[58.2493762, 23.5958943]"
مقهى,,"[58.2496703, 23.5959606]"
مقهى,,"[58.2495126, 23.5959287]"
نفط عمان,,"[58.2433927, 23.5904329]"
مطعم أبو منان,,"[58.2492824, 23.5862093]"
Amouage Visitor Centre Car Park,,"[58.2374738, 23.5906045]"
بنك مسقط,,"[58.2469673, 23.6001355]"
Anwar Tiwi Restaurant,,"[59.2567438, 22.8278241]"
مطعم,,"[58.1623888, 23.4628208]"
مقهى برجر,,"[58.1624632, 23.4628041]"
HOME,,"[58.1633991, 23.4546429]"
home,,"[58.1634061, 23.4547749]"
السجن المركزي بسمائل,,"[58.1370821, 23.2438771]"
Behind the Toilets,,"[58.9372509, 22.4946184]"
مركز شرطة بدية,,"[58.8936486, 22.4718039]"
Omanoil,,"[58.8552355, 22.4618327]"
فلج الظاهر,,"[58.8280458, 22.5962618]"
مطعم,,"[58.8007241, 22.4337419]"
مركز شرطة بدية,,"[58.8001043, 22.4605767]"
مستشفى بدية,,"[58.8024436, 22.4520689]"
المندوس,,"[58.7388766, 22.5151324]"
Al Anseb STP,,"[58.3341892, 23.5625078]"
Amouage,,"[58.2380399, 23.5912644]"
مرحبا للمواد الغذائية,,"[58.2295483, 23.5968628]"
Beauty Chandelier,,"[58.237282, 23.6064992]"
Al Wanasa Shopping,,"[58.2406679, 23.6087769]"
Barber Shop,,"[58.2385687, 23.5954073]"
Laundry,,"[58.2385734, 23.5955596]"
Barber Shop,,"[58.2385126, 23.595536]"
Laundry,,"[58.2238901, 23.5944885]"
Laundry,,"[58.2254652, 23.5942063]"
مكة هايبر ماركت,,"[58.4982472, 23.4800896]"
Laundry,,"[58.5514334, 23.584346]"
Hassan Trading,,"[58.5514269, 23.5843055]"
سنتر بوينت,,"[58.4471494, 23.5966315]"
إي ماكس-الخوير,,"[58.446733, 23.596617]"
Saden Furniture,,"[58.4488948, 23.593757]"
London Dry Cleaning,,"[58.4354282, 23.5889027]"
خبز التنور,,"[58.4364393, 23.591861]"
اثاث فهمي,,"[58.432734, 23.5964513]"
Spar,,"[58.4374231, 23.594729]"
دراجات هارلي,,"[58.441689, 23.5946687]"
Zakher Mall,,"[58.4434727, 23.5937665]"
الشنفري للسيارات,,"[58.441563, 23.5947128]"
Barber Shop,,"[58.4429308, 23.5967856]"
محل أدوات منزلية,,"[58.4401086, 23.5989832]"
Five Oceans Environmental,,"[58.4439553, 23.6002773]"
تصليح اطارات,,"[58.4437566, 23.5917963]"
كهربائي سيارات,,"[58.4438315, 23.5917305]"
House Hold Items,,"[58.4410566, 23.5847075]"
Madi,,"[58.4424913, 23.5891284]"
Topup Shop,,"[58.4571339, 23.592855]"
بيت سامية,,"[58.513117, 23.4884426]"
مبنى,,"[58.3974267, 23.5684385]"
بوشر الدراجات,,"[58.4105696, 23.5631609]"
Cloud Nine,,"[58.3992867, 23.5490795]"
شركة الأسماك العمانية,,"[58.3793559, 23.5720921]"
وكالة هينو - كاتو - كوماتسو,,"[58.3813686, 23.5777666]"
3M protected,,"[58.3824544, 23.5786084]"
كهربائي سيارات,,"[58.351003, 23.5367125]"
BANATZ,,"[58.345872, 23.5515245]"
مخبز الانصب الحديث,,"[58.3617926, 23.5473461]"
Al Noor Shopping Supermarket,,"[58.361725, 23.558327]"
Noor Supermarket,,"[58.3613728, 23.5582563]"
شراشف الاميرة,,"[58.3466353, 23.5578236]"
Salon Studio,,"[58.4184987, 23.5775681]"
هارلي,,"[58.4104892, 23.5574839]"
